time_period,total_load,cell_barring,cell_radius
890,52.840429255388884,1,100
891,52.72842883167041,1,100
892,52.71572848759698,1,100
893,52.70499616306361,1,100
894,52.7379830561345,1,100
895,52.72631246307367,1,100
896,52.66930107296539,1,100
897,52.77128443632301,1,100
898,52.69023771430625,1,100
899,52.64792840194611,1,100
900,52.71162135063359,1,100
901,52.64526493782567,1,100
902,52.78038406183932,1,100
903,52.85003205816967,1,100
904,52.80100349287512,1,100
905,52.78011789235031,1,100
906,52.80572453601409,1,100
907,52.86279718604702,1,100
908,52.798659824265194,1,100
909,52.810838100136614,1,100
910,52.76362068505631,1,100
911,52.8078976846451,1,100
912,52.82749976961859,1,100
913,52.94109045022634,1,100
914,52.95220905923143,1,100
915,52.89938208180921,1,100
916,52.88515607137133,1,100
917,52.94883914993758,1,100
918,53.01862782194164,1,100
919,53.02748559222019,1,100
920,53.09137075817814,1,100
921,53.122848608707514,1,100
922,53.11353789911704,1,100
923,53.04937821196877,1,100
924,53.093662280318874,1,100
925,53.12584646913516,1,100
926,53.22130284818312,1,100
927,53.185113404682035,1,100
928,53.30215760173365,1,100
929,53.32590194959045,1,100
930,53.23667778125827,1,100
931,53.217221002414696,1,100
932,53.25016540788869,1,100
933,53.32024152410415,1,100
934,53.38285050204028,1,100
935,53.44638715318775,1,100
936,53.35219950751542,1,100
937,53.31426202049163,1,100
938,53.27887618961741,1,100
939,53.34794380840144,1,100
940,53.392821996867795,1,100
941,53.456996394160186,1,100
942,53.52757608928417,1,100
943,53.62379398644688,1,100
944,53.64652185182074,1,100
945,53.58500347698272,1,100
946,53.31062880849623,1,100
947,53.48151835229153,1,100
948,53.47051508897868,1,100
949,53.310261978745714,1,100
950,53.43436376586219,1,100
951,53.45232212851745,1,100
952,53.39776771343476,1,100
953,53.37497259677389,1,100
954,53.43765181506875,1,100
955,53.52702263402401,1,100
956,53.52878214193157,1,100
957,53.43517722980144,1,100
958,53.423812693240244,1,100
959,53.396152119130804,1,100
960,53.33117308205181,1,100
961,53.39021587928139,1,100
962,53.45204330257059,1,100
963,53.37312844218257,1,100
964,53.346700412337235,1,100
965,53.33496252909758,1,100
966,53.322488315730496,1,100
967,53.31597322068646,1,100
968,53.24828650843507,1,100
969,53.283841406561315,1,100
970,53.26772547920099,1,100
971,53.254386746546686,1,100
972,53.234774118608854,1,100
973,53.229063993375966,1,100
974,53.19153516777891,1,100
975,53.19484041188047,1,100
976,53.19231408268145,1,100
977,53.2338482385235,1,100
978,53.24094384779641,1,100
979,53.18034650923453,1,100
980,53.19207044773014,1,100
981,53.188440923974724,1,100
982,53.188358971186965,1,100
983,53.19783537176787,1,100
984,53.18096882266483,1,100
985,53.187487761293355,1,100
986,53.229178413500044,1,100
987,53.072343695297604,1,100
